"month","year","Records","Downloads","Users","cumulative_downloads_by_year","cumulative_records_downloaded_by_year","cumulative_unique_users_by_year"
11,2020,75699614588,13348,2799,195950,478121930467,24716
10,2020,51968162770,21286,4460,182602,402422315879,23379
9,2020,47470766595,17784,3596,161316,350454153109,21443
8,2020,43402896173,16416,3005,143532,302983386514,19474
7,2020,49536469882,16847,3066,127116,259580490341,17471
6,2020,46023784395,17912,3088,110269,210044020459,15199
5,2020,44064611158,17699,3606,92357,164020236064,13235
4,2020,31803022613,16719,3358,74658,119955624906,11180
3,2020,29795456460,21562,3402,57939,88152602293,9133
2,2020,29929076936,17930,3350,36377,58357145833,6538
1,2020,28428068897,18447,2525,18447,28428068897,2799
12,2019,32630383241,12614,2272,157248,447764310807,21026
11,2019,29015785790,16304,3394,144634,415133927566,19976
10,2019,52292794025,22628,3472,128330,386118141776,18638
9,2019,46593010522,13462,2845,105702,333825347751,16937
8,2019,31429794287,10205,2347,92240,287232337229,15338
7,2019,24333668853,12171,2261,82035,255802542942,13749
6,2019,46218203420,12026,2295,69864,231468874089,12370
5,2019,40766822845,11574,2659,57838,185250670669,10987
4,2019,43582692568,12329,2757,46264,144483847824,9519
3,2019,38532909694,13140,2849,33935,100901155256,7598
2,2019,33071998122,11334,2605,20795,62368245562,5056
1,2019,29296247440,9461,2081,9461,29296247440,2272
12,2018,5657853802,7809,1742,149768,69562352015,16409
11,2018,5957283226,13038,2496,141959,63904498213,15510
10,2018,7299000098,14353,2727,128921,57947214987,14400
9,2018,5205682156,13344,2137,114568,50648214889,13097
8,2018,4959829880,11414,1941,101224,45442532733,11866
7,2018,7195038576,14969,1674,89810,40482702853,10597
6,2018,5623858105,13634,1847,74841,33287664277,9491
5,2018,9114068690,18339,2097,61207,27663806172,8449
4,2018,4921315532,10534,2183,42868,18549737482,7214
3,2018,4992266650,11584,2286,32334,13628421950,5852
2,2018,4180815190,9858,2105,20750,8636155300,3801
1,2018,4455340110,10892,1720,10892,4455340110,1742
12,2017,3815886446,7259,1525,111351,38632980642,12203
11,2017,6255796987,12096,2317,104092,34817094196,11600
10,2017,7297403815,11774,2009,91996,28561297209,10841
9,2017,4208985173,9854,1624,80222,21263893394,9761
8,2017,2714136752,9797,1347,70368,17054908221,8953
7,2017,1706814448,11869,1026,60571,14340771469,8017
6,2017,1669921437,7241,1138,48702,12633957021,7352
5,2017,2279029198,8068,1475,41461,10964035584,6743
4,2017,1936291615,8362,1434,33393,8685006386,5937
3,2017,2491632708,8677,1844,25031,6748714771,4849
2,2017,2216145823,7462,1457,16354,4257082063,3451
1,2017,2040936240,8892,1150,8892,2040936240,1525
12,2016,1454665719,6523,997,95248,23761204217,9946
11,2016,2901666693,10641,1648,88725,22306538498,9451
10,2016,2735368224,8547,1541,78084,19404871805,8716
9,2016,2198472906,9234,1307,69537,16669503581,7852
8,2016,863447491,8787,1107,60303,14471030675,6834
7,2016,1202927287,7134,870,51516,13607583184,6081
6,2016,2420120838,6756,1062,44382,12404655897,5466
5,2016,1826027722,8884,1217,37626,9984535059,4978
4,2016,2776913502,8566,1563,28742,8158507337,4335
3,2016,2250469399,7706,1412,20176,5381593835,3492
2,2016,1846534709,7078,1373,12470,3131124436,2388
1,2016,1284589727,5392,986,5392,1284589727,997
12,2015,1509664619,5507,892,90678,18106087258,9083
11,2015,1996853966,9365,1470,85171,16596422639,8680
10,2015,1873421602,9108,1539,75806,14599568673,8046
9,2015,1366016644,8659,1138,66698,12726147071,7121
8,2015,1396461430,6520,878,58039,11360130427,6378
7,2015,1688026280,5773,868,51519,9963668997,5709
6,2015,2171784718,8589,977,45746,8275642717,5132
5,2015,1478619256,7171,1093,37157,6103857999,4604
4,2015,1135812369,9354,1215,29986,4625238743,4072
3,2015,1454975735,8629,1474,20632,3489426374,3291
2,2015,1126679088,7384,1196,12003,2034450639,2128
1,2015,907771551,4619,873,4619,907771551,892
12,2014,996241929,5576,756,80779,15360367834,7042
11,2014,1125527211,7244,1064,75203,14364125905,6704
10,2014,1080469639,6234,1261,67959,13238598694,6248
9,2014,702171235,6292,969,61725,12158129055,5699
8,2014,741030881,8637,778,55433,11455957820,5198
7,2014,1175327758,4894,782,46796,10714926939,4696
6,2014,1288376246,4136,806,41902,9539599181,4198
5,2014,1197498020,5924,895,37766,8251222935,3714
4,2014,1083754569,6725,835,31842,7053724915,3251
3,2014,1501689030,14164,949,25117,5969970346,2620
2,2014,2583672986,6739,865,10953,4468281316,1664
1,2014,1884608330,4214,671,4214,1884608330,756
12,2013,1762844007,3768,601,10004,6412633014,1841
11,2013,2784204178,3914,886,6236,4649789007,1836
10,2013,1852732148,2312,617,2322,1865584829,1367
9,2013,12852681,10,7,10,12852681,601
